id_egresso,meses_desde_formacao,idade_egresso,nivel_cargo,renda_mensal_estimada,area_atuacao,modalidade_graduacao,tipo_empresa,satisfacao_graduacao_nps,engajamento_alumni_score,bolsista_graduacao,potencial_matricula_pos
68,7,25,Júnior,4044.95,Humanas,Presencial,Iniciativa Privada,8,59,1,0
69,89,34,Sem vínculo,0.0,Tecnologia,Presencial,Desempregado,9,25,0,0
70,97,28,Sênior,12049.83,Biológicas,EAD,Iniciativa Privada,5,31,0,0
71,116,29,Sênior,12987.28,Exatas,Híbrido,ONG,8,38,1,0
72,65,28,Pleno,4440.67,Biológicas,Presencial,Iniciativa Privada,4,3,1,0
73,76,32,Sênior,11007.48,Biológicas,Híbrido,ONG,9,97,1,1
74,49,27,Sem vínculo,0.0,Tecnologia,Híbrido,Desempregado,5,91,1,0
75,13,22,Júnior,4916.72,Exatas,Presencial,Setor Público,9,88,0,1
76,52,28,Sênior,9618.05,Exatas,Presencial,Setor Público,6,43,0,0
77,40,30,Pleno,4226.5,Humanas,Presencial,Iniciativa Privada,5,98,1,0
78,83,32,Sênior,9914.33,Exatas,EAD,Autônomo/PJ,8,82,1,0
79,86,34,Sem vínculo,0.0,Humanas,Presencial,Desempregado,7,34,1,0
80,41,23,Sênior,12912.04,Tecnologia,Presencial,Autônomo/PJ,9,50,0,0
81,55,27,Pleno,6718.51,Humanas,Híbrido,Setor Público,10,50,1,0
82,109,36,Gestão,18523.73,Tecnologia,Presencial,Setor Público,9,28,1,0
83,9,20,Pleno,6204.7,Tecnologia,Presencial,Autônomo/PJ,10,77,0,0
84,7,21,Júnior,4469.37,Biológicas,EAD,Iniciativa Privada,6,84,0,0
85,11,21,Pleno,6453.21,Tecnologia,Híbrido,Autônomo/PJ,8,35,0,0
86,59,28,Pleno,7101.52,Tecnologia,Presencial,Iniciativa Privada,9,77,0,1
87,111,36,Gestão,15769.93,Tecnologia,Presencial,Iniciativa Privada,10,59,1,0
88,9,24,Pleno,6769.95,Exatas,EAD,Iniciativa Privada,7,14,0,0
89,59,29,Pleno,6884.93,Tecnologia,EAD,Iniciativa Privada,9,50,1,0
90,98,34,Sênior,11995.29,Humanas,Híbrido,Iniciativa Privada,6,49,1,0
91,68,32,Gestão,19796.78,Humanas,Presencial,Iniciativa Privada,7,93,1,1
92,23,22,Júnior,4146.95,Tecnologia,EAD,Iniciativa Privada,4,54,0,0
93,95,30,Sênior,13805.73,Exatas,Presencial,Iniciativa Privada,4,11,0,0
94,49,24,Pleno,5377.15,Tecnologia,Híbrido,Iniciativa Privada,9,49,1,0
95,39,25,Pleno,6406.5,Humanas,Presencial,Autônomo/PJ,5,61,1,0
96,79,30,Sem vínculo,0.0,Exatas,Presencial,Desempregado,5,4,0,0
97,67,27,Sênior,8939.89,Tecnologia,Presencial,Autônomo/PJ,5,26,0,0
98,105,35,Sem vínculo,0.0,Tecnologia,Presencial,Desempregado,5,78,0,0
99,19,24,Júnior,1500.0,Tecnologia,Presencial,Setor Público,10,89,1,0
100,100,32,Gestão,15519.5,Humanas,Presencial,Iniciativa Privada,9,8,1,0
101,53,26,Pleno,5709.1,Tecnologia,Presencial,Setor Público,7,34,0,0
102,20,27,Júnior,5426.66,Tecnologia,Presencial,Autônomo/PJ,6,12,1,0
103,77,29,Sênior,13200.19,Tecnologia,EAD,Iniciativa Privada,6,43,0,0
104,83,26,Gestão,17336.56,Biológicas,Presencial,Iniciativa Privada,10,45,1,1
105,92,33,Sênior,10716.86,Humanas,EAD,Autônomo/PJ,5,96,1,0
106,67,28,Gestão,15983.51,Tecnologia,EAD,Iniciativa Privada,4,97,1,0
107,45,28,Pleno,6526.07,Tecnologia,Presencial,Setor Público,8,67,1,0
108,90,31,Pleno,7282.83,Biológicas,Presencial,Iniciativa Privada,5,76,0,0
109,85,28,Sênior,12934.92,Tecnologia,EAD,Setor Público,5,73,1,0
110,114,29,Sênior,12380.78,Biológicas,Presencial,Iniciativa Privada,9,52,1,1
111,87,34,Gestão,14818.23,Tecnologia,Presencial,Iniciativa Privada,10,0,1,0
112,116,35,Sênior,11045.45,Tecnologia,Presencial,Iniciativa Privada,4,10,0,0
113,58,30,Pleno,4645.71,Humanas,Presencial,Setor Público,8,49,0,0
114,29,24,Pleno,7210.07,Humanas,Presencial,Autônomo/PJ,7,8,0,0
115,31,26,Pleno,7894.06,Biológicas,Híbrido,ONG,7,37,0,0
116,94,34,Sênior,11606.01,Biológicas,Híbrido,Iniciativa Privada,8,86,0,1
117,65,26,Gestão,17129.25,Exatas,Híbrido,Autônomo/PJ,8,12,0,0
118,114,32,Gestão,15572.65,Humanas,Presencial,Iniciativa Privada,10,4,1,1
119,46,24,Pleno,7235.9,Biológicas,Híbrido,Iniciativa Privada,7,24,1,0
120,34,26,Pleno,8136.38,Exatas,EAD,Iniciativa Privada,5,9,0,0
121,20,25,Júnior,4071.72,Tecnologia,EAD,Setor Público,10,4,0,0
122,50,29,Pleno,6227.49,Tecnologia,Presencial,Iniciativa Privada,5,21,1,0
123,70,30,Gestão,18103.37,Tecnologia,Presencial,Iniciativa Privada,9,41,0,0
124,94,28,Gestão,16956.13,Biológicas,Híbrido,Setor Público,4,88,1,0
125,76,29,Sênior,13784.48,Exatas,Presencial,Autônomo/PJ,8,100,1,0
126,14,22,Pleno,5725.47,Tecnologia,Híbrido,Iniciativa Privada,5,19,0,0
127,93,31,Sênior,10289.67,Biológicas,Presencial,Iniciativa Privada,5,27,1,0
128,6,24,Júnior,3837.14,Tecnologia,Híbrido,Iniciativa Privada,4,20,1,0
129,113,31,Gestão,16978.32,Exatas,Presencial,Iniciativa Privada,8,10,0,0
130,13,26,Júnior,5671.01,Biológicas,Presencial,Setor Público,4,92,1,0
131,93,34,Pleno,5511.98,Exatas,EAD,Iniciativa Privada,4,68,1,0
132,68,32,Gestão,16190.86,Tecnologia,EAD,Setor Público,7,36,1,0
133,16,28,Júnior,1500.0,Exatas,EAD,ONG,4,48,1,0
134,86,29,Sênior,12571.35,Humanas,Presencial,Iniciativa Privada,10,68,1,1
135,13,21,Sem vínculo,0.0,Exatas,Presencial,Desempregado,10,32,1,0
136,40,30,Sênior,11395.82,Tecnologia,Presencial,Iniciativa Privada,10,44,1,0
137,40,27,Sênior,10794.27,Tecnologia,Presencial,Iniciativa Privada,8,99,1,0
138,38,25,Pleno,6731.22,Humanas,EAD,Iniciativa Privada,5,7,0,0
139,10,21,Júnior,4708.27,Exatas,Presencial,Iniciativa Privada,5,5,1,0
140,111,34,Pleno,8067.56,Humanas,Presencial,Iniciativa Privada,7,14,0,0
141,108,34,Sênior,12156.95,Humanas,Híbrido,Iniciativa Privada,8,14,0,0
142,46,26,Sênior,10378.53,Exatas,Presencial,Autônomo/PJ,10,8,0,0
143,33,23,Sem vínculo,0.0,Biológicas,EAD,Desempregado,5,60,0,0
144,12,24,Júnior,2326.13,Tecnologia,Presencial,Setor Público,4,55,0,0
145,78,28,Gestão,17754.37,Tecnologia,Presencial,Iniciativa Privada,10,4,0,0
146,77,32,Sênior,10497.07,Humanas,EAD,Setor Público,10,25,1,1
147,17,28,Júnior,3896.8,Tecnologia,Presencial,Setor Público,6,86,0,0
148,39,23,Júnior,3810.89,Humanas,Presencial,Autônomo/PJ,10,79,0,0
149,38,24,Sênior,9688.77,Biológicas,Híbrido,Autônomo/PJ,6,56,1,0
150,53,25,Pleno,6037.66,Biológicas,EAD,ONG,10,34,1,0
151,28,23,Pleno,3562.72,Exatas,Híbrido,Iniciativa Privada,10,9,0,0
152,67,28,Sênior,11086.64,Biológicas,EAD,Setor Público,10,90,1,1
153,93,29,Sênior,13214.38,Tecnologia,Presencial,Iniciativa Privada,6,79,1,0
154,42,24,Sem vínculo,0.0,Exatas,Presencial,Desempregado,6,20,0,0
155,104,34,Sênior,11493.88,Exatas,EAD,Iniciativa Privada,4,11,1,0
156,49,25,Júnior,2512.91,Tecnologia,Presencial,Iniciativa Privada,5,8,1,0
157,109,34,Gestão,18768.7,Tecnologia,Presencial,Iniciativa Privada,7,15,1,0
158,91,34,Gestão,16470.0,Biológicas,Presencial,Autônomo/PJ,4,72,0,0
159,96,28,Gestão,17107.68,Humanas,Presencial,Iniciativa Privada,5,92,0,0
160,40,30,Pleno,7215.6,Humanas,Presencial,Iniciativa Privada,8,53,0,0
161,70,30,Sem vínculo,0.0,Tecnologia,Presencial,Desempregado,5,22,0,0
162,104,33,Sem vínculo,0.0,Exatas,EAD,Desempregado,5,38,0,0
163,106,28,Gestão,18147.58,Biológicas,Presencial,Iniciativa Privada,5,87,1,1
164,52,30,Júnior,5275.57,Humanas,EAD,Iniciativa Privada,4,21,1,0
165,83,28,Gestão,16718.16,Humanas,EAD,Autônomo/PJ,5,54,0,0
166,8,25,Sem vínculo,0.0,Biológicas,Presencial,Desempregado,10,30,0,0
167,6,22,Júnior,3020.83,Exatas,Presencial,Iniciativa Privada,5,73,0,0
168,10,25,Júnior,3933.16,Exatas,Presencial,Setor Público,8,46,0,0
169,95,31,Sênior,12402.17,Tecnologia,Presencial,Iniciativa Privada,8,26,1,0
170,19,21,Pleno,6920.42,Exatas,EAD,Autônomo/PJ,6,97,1,0
171,108,34,Sênior,10828.41,Humanas,Presencial,Setor Público,9,47,0,0
172,32,26,Pleno,8368.69,Tecnologia,Presencial,Iniciativa Privada,4,38,0,0
173,14,28,Júnior,4173.78,Exatas,Presencial,Iniciativa Privada,5,87,0,0
174,84,30,Sem vínculo,0.0,Tecnologia,EAD,Desempregado,6,20,1,0
175,20,25,Júnior,5871.41,Tecnologia,Presencial,Setor Público,6,14,1,0
176,95,28,Gestão,19755.66,Exatas,EAD,Iniciativa Privada,4,80,0,0
177,47,28,Pleno,4870.44,Tecnologia,EAD,Setor Público,9,44,0,0
178,82,30,Sênior,11712.9,Biológicas,Presencial,Setor Público,6,18,0,0
179,56,26,Pleno,5614.98,Tecnologia,Presencial,Iniciativa Privada,6,52,0,0
180,68,28,Sênior,11932.42,Exatas,Presencial,Autônomo/PJ,4,88,1,0
181,101,34,Sênior,10662.36,Tecnologia,Presencial,Setor Público,7,54,0,0
182,108,34,Sem vínculo,0.0,Tecnologia,Presencial,Desempregado,6,85,1,0
183,118,30,Sênior,9710.27,Exatas,Presencial,Iniciativa Privada,8,48,1,0
184,57,30,Pleno,7684.94,Biológicas,Presencial,Iniciativa Privada,10,77,0,1
185,101,32,Sênior,12837.08,Exatas,EAD,Iniciativa Privada,6,60,1,0
186,9,26,Júnior,3725.94,Biológicas,Híbrido,Setor Público,4,59,0,0
187,99,34,Sênior,12094.18,Tecnologia,EAD,Setor Público,4,91,1,0
188,106,31,Sênior,13766.65,Tecnologia,Presencial,ONG,9,75,0,0
189,28,29,Pleno,4182.87,Humanas,Híbrido,Autônomo/PJ,10,90,0,0
190,108,35,Gestão,15692.6,Exatas,Presencial,Iniciativa Privada,7,23,1,0
191,114,35,Sem vínculo,0.0,Exatas,Presencial,Desempregado,7,85,0,0
192,20,26,Júnior,4137.65,Tecnologia,Presencial,Iniciativa Privada,9,38,0,0
193,48,31,Pleno,4842.23,Tecnologia,Presencial,Autônomo/PJ,9,60,1,0
194,34,25,Sênior,9741.39,Exatas,Presencial,Iniciativa Privada,8,99,1,0
195,41,24,Pleno,5766.91,Biológicas,EAD,Setor Público,10,22,1,0
196,18,25,Júnior,3035.61,Tecnologia,Presencial,Autônomo/PJ,8,71,1,0
197,37,26,Pleno,5218.24,Biológicas,Presencial,Setor Público,6,91,0,0
198,76,29,Sênior,11932.26,Tecnologia,Presencial,Iniciativa Privada,7,92,0,0
199,64,25,Gestão,16887.4,Exatas,EAD,Iniciativa Privada,8,78,1,0
200,91,30,Sênior,10858.12,Tecnologia,Híbrido,Setor Público,6,38,1,0
201,33,29,Pleno,9488.27,Exatas,EAD,Autônomo/PJ,5,71,0,0
202,71,25,Gestão,15580.36,Tecnologia,Presencial,Iniciativa Privada,6,91,1,0
203,47,27,Sem vínculo,0.0,Tecnologia,EAD,Desempregado,10,96,1,0
204,50,30,Pleno,5671.84,Biológicas,Presencial,Iniciativa Privada,8,10,1,0
205,67,30,Gestão,16716.65,Humanas,Híbrido,Iniciativa Privada,10,41,1,1
206,62,30,Gestão,17671.64,Humanas,EAD,Autônomo/PJ,6,100,0,1
207,11,24,Júnior,4892.31,Tecnologia,Presencial,Setor Público,10,24,0,0
208,33,26,Sem vínculo,0.0,Biológicas,EAD,Desempregado,10,33,1,0
209,33,29,Pleno,4435.98,Exatas,Presencial,Setor Público,5,21,1,0
210,113,31,Sênior,12792.93,Biológicas,Presencial,Iniciativa Privada,8,1,1,0
211,49,30,Pleno,4759.24,Tecnologia,EAD,Iniciativa Privada,6,50,1,0
212,89,31,Sênior,11221.4,Tecnologia,Presencial,Iniciativa Privada,8,15,0,0
213,35,25,Sênior,12102.33,Biológicas,Híbrido,Iniciativa Privada,9,10,0,0
214,67,32,Sênior,13825.29,Exatas,Presencial,Autônomo/PJ,9,77,1,0
215,80,31,Sênior,11416.84,Biológicas,EAD,Iniciativa Privada,6,95,0,0
216,97,29,Gestão,16183.8,Tecnologia,EAD,Iniciativa Privada,4,85,0,0
217,94,34,Sênior,11355.26,Exatas,Híbrido,Iniciativa Privada,8,68,1,0
218,108,34,Sênior,11465.21,Biológicas,Presencial,Iniciativa Privada,8,99,1,1
219,67,25,Pleno,6822.2,Humanas,Presencial,Iniciativa Privada,9,86,1,0
220,102,35,Gestão,20341.51,Humanas,EAD,ONG,9,61,0,1
221,6,25,Júnior,3723.68,Tecnologia,EAD,Autônomo/PJ,10,18,0,0
222,32,24,Pleno,4066.65,Tecnologia,Presencial,Autônomo/PJ,8,28,0,0
223,67,32,Pleno,7368.1,Tecnologia,Presencial,Autônomo/PJ,8,41,1,0
224,82,33,Sênior,11752.27,Exatas,Híbrido,Iniciativa Privada,9,22,1,0
225,110,35,Gestão,17058.55,Biológicas,EAD,ONG,6,59,0,0
226,8,24,Júnior,5093.56,Exatas,EAD,Iniciativa Privada,7,72,0,0
227,108,35,Sênior,12782.69,Exatas,EAD,Iniciativa Privada,10,17,0,0
228,75,33,Gestão,15515.57,Biológicas,Presencial,Setor Público,6,94,1,1
229,77,30,Gestão,16788.36,Tecnologia,Híbrido,Iniciativa Privada,5,100,0,0
230,32,27,Pleno,4667.73,Biológicas,EAD,Autônomo/PJ,4,80,0,0
231,14,22,Júnior,1500.0,Biológicas,Presencial,Iniciativa Privada,6,54,0,0
232,67,26,Sênior,9933.82,Tecnologia,Presencial,Autônomo/PJ,6,17,1,0
233,42,30,Pleno,6891.52,Tecnologia,Presencial,Iniciativa Privada,8,26,0,0
234,102,30,Gestão,18093.81,Tecnologia,EAD,Iniciativa Privada,10,84,0,0
235,56,24,Pleno,7642.99,Humanas,EAD,Autônomo/PJ,5,0,0,0
236,111,34,Sênior,11397.65,Tecnologia,Híbrido,Iniciativa Privada,10,95,0,0
237,49,28,Sênior,10152.6,Humanas,Híbrido,Iniciativa Privada,8,13,1,0
238,29,29,Pleno,5603.89,Exatas,Presencial,Iniciativa Privada,9,58,0,0
239,84,32,Gestão,17884.61,Biológicas,EAD,Setor Público,10,77,0,1
240,64,32,Sênior,9235.62,Biológicas,EAD,Setor Público,8,32,1,0
241,37,25,Pleno,6699.98,Biológicas,Presencial,Iniciativa Privada,7,35,1,0
242,101,31,Sem vínculo,0.0,Tecnologia,Presencial,Desempregado,4,38,0,0
243,93,30,Gestão,15346.28,Tecnologia,Presencial,ONG,7,75,0,0
244,110,31,Pleno,6884.15,Tecnologia,Presencial,Autônomo/PJ,8,44,1,0
245,57,28,Pleno,7403.61,Exatas,Presencial,Autônomo/PJ,4,24,1,0
246,118,35,Gestão,16165.5,Exatas,EAD,Iniciativa Privada,6,14,1,0
247,67,27,Gestão,14996.43,Biológicas,EAD,Setor Público,10,19,1,1
248,118,36,Sênior,11032.37,Biológicas,EAD,Iniciativa Privada,5,33,1,0
249,63,29,Gestão,16970.82,Tecnologia,EAD,Iniciativa Privada,7,57,0,0
250,57,25,Sem vínculo,0.0,Humanas,Presencial,Desempregado,5,59,0,0
251,17,23,Júnior,2282.65,Tecnologia,Presencial,Setor Público,8,77,1,0
252,44,27,Sênior,11580.12,Tecnologia,Presencial,Iniciativa Privada,4,29,1,0
253,7,22,Júnior,4829.89,Biológicas,Presencial,Iniciativa Privada,9,12,1,0
254,8,22,Júnior,5709.86,Biológicas,Híbrido,Setor Público,10,77,1,0
255,118,35,Sênior,10741.28,Tecnologia,EAD,Iniciativa Privada,10,92,1,0
256,106,34,Sênior,13152.59,Biológicas,Presencial,Iniciativa Privada,6,89,1,1
257,118,36,Gestão,17784.16,Biológicas,Presencial,Iniciativa Privada,4,66,0,0
258,61,29,Gestão,18335.94,Tecnologia,EAD,Iniciativa Privada,9,88,0,0
259,86,31,Sênior,12220.02,Tecnologia,EAD,Setor Público,5,90,0,0
260,64,25,Sênior,13911.58,Humanas,EAD,Iniciativa Privada,5,44,1,0
261,118,31,Sênior,9999.7,Biológicas,Presencial,Autônomo/PJ,6,39,0,0
262,7,23,Júnior,3516.56,Exatas,Presencial,Iniciativa Privada,9,79,1,0
263,7,22,Júnior,2451.02,Tecnologia,Presencial,Setor Público,9,37,1,0
264,97,30,Sem vínculo,0.0,Humanas,EAD,Desempregado,6,74,1,0
265,59,28,Pleno,6686.44,Humanas,Presencial,Setor Público,4,92,0,0
266,92,29,Pleno,7788.67,Exatas,Presencial,ONG,7,46,0,1
267,106,33,Sem vínculo,0.0,Tecnologia,EAD,Desempregado,4,87,0,0
268,101,30,Gestão,16552.72,Biológicas,Presencial,Iniciativa Privada,10,28,1,1
269,102,33,Pleno,8216.75,Humanas,EAD,Autônomo/PJ,5,33,1,0
270,6,26,Júnior,4752.75,Biológicas,Presencial,ONG,4,10,0,0
271,24,25,Pleno,6426.03,Biológicas,Presencial,Iniciativa Privada,8,19,0,0
272,7,27,Júnior,1597.72,Biológicas,Híbrido,Iniciativa Privada,4,19,1,0
273,58,28,Sem vínculo,0.0,Biológicas,Presencial,Desempregado,10,72,0,0
274,49,26,Júnior,3392.59,Biológicas,Presencial,Autônomo/PJ,4,55,0,0
275,95,32,Sênior,14318.47,Humanas,Presencial,Iniciativa Privada,9,22,0,1
276,37,28,Pleno,7297.48,Humanas,Híbrido,Iniciativa Privada,10,99,0,1
277,75,32,Gestão,17727.8,Humanas,EAD,Autônomo/PJ,10,90,0,1
278,37,28,Pleno,4224.05,Humanas,Híbrido,Iniciativa Privada,8,87,1,0
279,73,33,Sênior,12999.35,Tecnologia,EAD,Setor Público,5,24,0,0
280,60,26,Sênior,14380.48,Exatas,EAD,Autônomo/PJ,6,88,0,0
281,80,26,Gestão,17884.04,Tecnologia,Presencial,Setor Público,4,32,0,0
282,61,32,Gestão,16641.87,Tecnologia,EAD,Iniciativa Privada,7,30,1,0
283,22,24,Júnior,3117.48,Tecnologia,Presencial,Autônomo/PJ,9,73,0,0
284,43,30,Pleno,8059.53,Biológicas,EAD,Autônomo/PJ,9,78,0,0
285,29,28,Pleno,6605.22,Exatas,EAD,Setor Público,6,0,0,0
286,74,32,Gestão,18043.8,Tecnologia,EAD,Iniciativa Privada,7,53,1,0
287,103,35,Sênior,13114.61,Exatas,Presencial,Iniciativa Privada,4,15,1,0
288,75,28,Sem vínculo,0.0,Tecnologia,EAD,Desempregado,7,84,1,0
289,91,28,Gestão,15960.14,Biológicas,Presencial,Iniciativa Privada,9,58,1,1
290,16,23,Júnior,3292.9,Tecnologia,Presencial,Iniciativa Privada,6,65,1,0
291,117,31,Sênior,10611.81,Tecnologia,Híbrido,Iniciativa Privada,7,2,1,0
292,21,28,Júnior,3709.4,Biológicas,Presencial,Autônomo/PJ,7,14,1,0
293,102,32,Sênior,9466.68,Exatas,Presencial,Iniciativa Privada,6,31,1,0
294,78,30,Pleno,7076.4,Biológicas,EAD,Iniciativa Privada,10,49,0,1
295,64,29,Sênior,11909.5,Exatas,EAD,Iniciativa Privada,6,90,1,0
296,75,27,Sênior,11110.39,Tecnologia,Híbrido,Autônomo/PJ,6,99,0,0
297,85,29,Gestão,17457.05,Exatas,EAD,Iniciativa Privada,9,98,1,0
298,98,28,Sênior,11565.0,Tecnologia,Presencial,Iniciativa Privada,6,59,1,0
299,8,23,Júnior,2816.6,Tecnologia,Presencial,Iniciativa Privada,8,87,1,0
300,25,26,Pleno,6803.3,Tecnologia,Presencial,ONG,4,7,1,0
301,64,29,Gestão,16145.47,Biológicas,Presencial,Iniciativa Privada,9,6,0,1
302,41,29,Júnior,3664.67,Humanas,EAD,Iniciativa Privada,10,3,1,0
303,24,24,Júnior,1517.9,Tecnologia,Presencial,Iniciativa Privada,6,93,1,0
304,95,29,Sem vínculo,0.0,Tecnologia,Presencial,Desempregado,5,9,1,0
305,72,27,Sênior,11541.23,Biológicas,EAD,Setor Público,7,59,1,0
306,24,23,Sem vínculo,0.0,Tecnologia,Presencial,Desempregado,6,24,1,0
307,25,26,Pleno,6287.77,Exatas,Presencial,Autônomo/PJ,6,41,0,0
308,101,30,Sênior,12729.47,Exatas,EAD,Iniciativa Privada,4,46,0,0
309,76,26,Gestão,16929.77,Humanas,Presencial,Setor Público,6,95,0,0
310,57,27,Pleno,5017.33,Tecnologia,EAD,Iniciativa Privada,9,95,0,0
311,110,36,Gestão,14521.78,Biológicas,EAD,Setor Público,8,31,1,1
312,38,25,Sênior,12709.72,Exatas,Híbrido,Iniciativa Privada,5,73,1,0
313,45,29,Pleno,5616.19,Tecnologia,Presencial,Iniciativa Privada,5,72,1,0
314,44,30,Sem vínculo,0.0,Tecnologia,Presencial,Desempregado,10,24,0,0
315,87,29,Gestão,17559.64,Tecnologia,EAD,Iniciativa Privada,6,88,0,0
